x_center_mm,y_center_mm,entries,mean_adc_per_mev,standard_error
-19.5,-19.5,2,77.14318547,0.7047901136
-19.5,-18.5,1,74.47829559,0
-19.5,-17.5,4,80.37565333,3.739505895
-19.5,-16.5,2,78.76040639,2.560488966
-19.5,-15.5,3,78.14008384,0.4714540104
-19.5,-14.5,1,80.42063234,0
-19.5,-13.5,4,79.58455465,1.030526617
-19.5,-12.5,4,82.0272707,2.022004593
-19.5,-11.5,7,78.95363936,1.215944121
-19.5,-10.5,7,81.81890871,1.420025717
-19.5,-9.5,0,0,0
-19.5,-8.5,3,86.74442872,0.7669511505
-19.5,-7.5,5,80.7698282,1.209128134
-19.5,-6.5,2,83.85642852,3.202926466
-19.5,-5.5,4,85.34616001,1.252116792
-19.5,-4.5,6,86.273054,2.137372209
-19.5,-3.5,2,80.24231008,1.926615017
-19.5,-2.5,2,81.27382382,1.561779055
-19.5,-1.5,3,81.83303643,1.255411015
-19.5,-0.5,0,0,0
-19.5,0.5,4,86.54143314,1.303082079
-19.5,1.5,2,84.58727794,0.5382461144
-19.5,2.5,2,83.7026186,0.4258351275
-19.5,3.5,6,85.94874472,2.195488645
-19.5,4.5,4,85.54924305,1.404443086
-19.5,5.5,3,83.52386255,0.5583910843
-19.5,6.5,5,84.36812903,1.757285491
-19.5,7.5,1,88.63245334,0
-19.5,8.5,4,85.76569151,1.947497184
-19.5,9.5,4,84.91267671,0.5891186416
-19.5,10.5,5,82.88571724,0.7619317445
-19.5,11.5,3,83.55782775,1.786002509
-19.5,12.5,2,81.8237515,2.88421243
-19.5,13.5,2,81.8517393,2.275579223
-19.5,14.5,6,80.00949504,1.215288491
-19.5,15.5,2,79.7321225,0.7747783856
-19.5,16.5,4,80.73479029,1.566566221
-19.5,17.5,3,79.58516329,2.158452648
-19.5,18.5,4,74.44751619,1.333322626
-19.5,19.5,3,73.51351916,1.519278032
-18.5,-19.5,3,76.16368162,3.013582295
-18.5,-18.5,5,76.28636223,1.201924776
-18.5,-17.5,3,76.15162887,3.58775064
-18.5,-16.5,6,82.13429492,2.0148326
-18.5,-15.5,6,77.35733666,1.886901973
-18.5,-14.5,3,80.71383622,2.976617263
-18.5,-13.5,2,81.88103011,1.667968998
-18.5,-12.5,2,84.60775279,3.852839247
-18.5,-11.5,2,80.05445299,2.258185826
-18.5,-10.5,8,82.71015269,1.010844084
-18.5,-9.5,4,81.75578286,1.606497389
-18.5,-8.5,2,81.38735977,1.938783107
-18.5,-7.5,3,87.28500847,3.966711659
-18.5,-6.5,0,0,0
-18.5,-5.5,5,84.45385847,1.003673588
-18.5,-4.5,2,81.05665488,3.09763447
-18.5,-3.5,3,85.06425412,2.889062439
-18.5,-2.5,3,82.72396251,2.183528419
-18.5,-1.5,4,82.34760312,1.652642695
