# Electron (e-)
# energy_mev mean_adc adc_stderr triggered_fraction mean_edep_mev n_events
0.05 0.32 0.0204072 0 0.00556358 1500
0.0873341 3.798 0.067937 0 0.0544862 1500
0.152545 9.398 0.101764 0 0.128237 1500
0.266448 18.32 0.146616 0.916667 0.24468 1500
0.465397 33.3047 0.212337 0.964 0.441333 1500
0.812903 59.3773 0.338068 0.978667 0.778813 1500
1.41987 101.942 0.613515 0.992667 1.33694 1500
2.48008 175.623 1.17997 0.996 2.2808 1500
4.33193 190.499 1.74837 0.996 2.47395 1500
7.56645 175.757 1.43095 0.996667 2.2844 1500
13.2162 173.34 1.38367 0.998667 2.25261 1500
23.0844 173.493 1.37295 1 2.25925 1500
40.3213 172.65 1.32106 1 2.24802 1500
70.4288 171.721 1.30116 1 2.23357 1500
123.016 171.997 1.22401 1 2.24573 1500
214.87 172.523 1.14388 1 2.24565 1500
375.308 173.025 1.2021 1 2.25272 1500
655.546 172.921 1.22362 1 2.25644 1500
1145.02 172.316 1.20123 1 2.24708 1500
2000 172.636 1.17552 1 2.24544 1500
