# Photon (gamma)
# energy_mev mean_adc adc_stderr triggered_fraction mean_edep_mev n_events
1 2.60915 0.0739113 0.06245 0.0346353 20000
2.15443 3.69885 0.132388 0.04835 0.0484249 20000
4.64158 3.4549 0.161211 0.0322 0.0450575 20000
9.99998 2.72215 0.155398 0.023 0.0358634 20000
21.5443 2.46045 0.154537 0.01855 0.0416603 20000
46.416 2.495 0.163081 0.01685 0.0396947 20000
100 2.9141 0.22933 0.0167 0.0426067 20000
215.444 3.1379 0.199232 0.01765 0.0436662 20000
464.159 3.40905 0.220813 0.01865 0.0451785 20000
1000 3.52385 0.217234 0.01935 0.0475747 20000
