# Photon (interacted) (gamma)
# energy_mev mean_adc adc_stderr triggered_fraction mean_edep_mev n_events
1 32.0338 0.494912 0.766728 0.425233 1629
2.15443 66.6459 1.38274 0.871171 0.87252 1110
4.64158 94.3962 2.77187 0.879781 1.23108 732
9.99998 106.334 3.91885 0.898438 1.40091 512
21.5443 119.73 4.73717 0.902676 2.02726 411
46.416 140.563 5.46113 0.949296 2.23632 355
100 164.638 9.63901 0.943503 2.40716 354
215.444 168.704 6.30471 0.948925 2.34765 372
464.159 172.174 7.14964 0.941919 2.28174 396
1000 170.234 6.45577 0.934783 2.29829 414
