x_center_mm,y_center_mm,entries,mean_adc_per_mev,standard_error
-9.5,-9.5,11,190.1232549,2.895749761
-9.5,-8.5,15,192.5293533,3.092624745
-9.5,-7.5,13,192.7265444,1.867553401
-9.5,-6.5,12,198.7420526,2.175935705
-9.5,-5.5,24,197.7704468,1.396749686
-9.5,-4.5,9,202.5382831,1.983044652
-9.5,-3.5,10,200.2615984,3.12150303
-9.5,-2.5,17,200.9450211,2.29392368
-9.5,-1.5,10,206.1415952,2.307952547
-9.5,-0.5,10,202.7025665,1.994780369
-9.5,0.5,16,202.2303677,2.258750708
-9.5,1.5,12,200.104896,2.227252182
-9.5,2.5,17,203.2887556,1.8626049
-9.5,3.5,11,201.3915106,2.381972218
-9.5,4.5,13,197.2808986,2.4534638
-9.5,5.5,16,195.9969941,1.616774637
-9.5,6.5,12,196.6885899,3.116630254
-9.5,7.5,19,194.1774363,1.829897986
-9.5,8.5,12,192.9711484,2.759250068
-9.5,9.5,12,192.5529233,1.937984776
-8.5,-9.5,12,192.8146826,2.219607713
-8.5,-8.5,21,195.8874396,2.268979794
-8.5,-7.5,14,192.7530081,2.207507568
-8.5,-6.5,16,195.8399876,1.76854915
-8.5,-5.5,11,196.2836767,2.63670024
-8.5,-4.5,14,198.4364534,2.00721821
-8.5,-3.5,11,199.6907132,2.468860784
-8.5,-2.5,12,199.9574723,3.105604721
-8.5,-1.5,17,203.2239802,2.518877868
-8.5,-0.5,14,200.7504836,2.940945869
-8.5,0.5,9,201.3582079,2.242581049
-8.5,1.5,18,205.1813031,2.568194379
-8.5,2.5,16,200.5027086,2.408870615
-8.5,3.5,20,200.4766946,1.769256935
-8.5,4.5,9,197.0476861,4.656972411
-8.5,5.5,15,198.6699521,2.031555254
-8.5,6.5,14,200.6152738,2.370365282
-8.5,7.5,9,191.1749838,2.702286379
-8.5,8.5,8,195.1090541,2.394454968
-8.5,9.5,7,197.6157006,3.236208543
-7.5,-9.5,14,188.9286538,1.929194004
-7.5,-8.5,13,192.1671076,1.730501589
-7.5,-7.5,11,197.6101675,1.839253885
-7.5,-6.5,19,199.1678424,1.803847024
-7.5,-5.5,10,201.5134413,2.455566606
-7.5,-4.5,10,198.701365,1.997595937
-7.5,-3.5,8,202.2899296,3.083629322
-7.5,-2.5,10,201.1171128,4.005957654
-7.5,-1.5,13,206.6058845,1.897603714
-7.5,-0.5,15,206.7914771,1.863886771
-7.5,0.5,11,202.0339672,3.047780624
-7.5,1.5,7,201.920765,2.543762359
-7.5,2.5,13,203.3812796,2.195923716
-7.5,3.5,11,200.6938736,1.0468089
